Date,Milk_Production,Year,Month,Rolling_Avg,Growth_%
1962-01-01,589.0,1962,1,,
1962-02-01,561.0,1962,2,,-4.753820033955858
1962-03-01,640.0,1962,3,,14.081996434937615
1962-04-01,656.0,1962,4,,2.499999999999991
1962-05-01,727.0,1962,5,,10.823170731707311
1962-06-01,697.0,1962,6,,-4.1265474552957375
1962-07-01,640.0,1962,7,,-8.177905308464851
1962-08-01,599.0,1962,8,,-6.406250000000002
1962-09-01,568.0,1962,9,,-5.175292153589317
1962-10-01,577.0,1962,10,,1.5845070422535246
1962-11-01,553.0,1962,11,,-4.159445407279028
1962-12-01,582.0,1962,12,615.75,5.244122965641962
1963-01-01,600.0,1963,1,616.6666666666666,3.092783505154628
1963-02-01,566.0,1963,2,617.0833333333334,-5.666666666666664
1963-03-01,653.0,1963,3,618.1666666666666,15.371024734982331
1963-04-01,673.0,1963,4,619.5833333333334,3.0627871362940207
1963-05-01,742.0,1963,5,620.8333333333334,10.252600297176828
1963-06-01,716.0,1963,6,622.4166666666666,-3.5040431266846306
1963-07-01,660.0,1963,7,624.0833333333334,-7.8212290502793325
1963-08-01,617.0,1963,8,625.5833333333334,-6.515151515151518
1963-09-01,583.0,1963,9,626.8333333333334,-5.510534846029169
1963-10-01,587.0,1963,10,627.6666666666666,0.6861063464836947
1963-11-01,565.0,1963,11,628.6666666666666,-3.747870528109032
1963-12-01,598.0,1963,12,630.0,5.840707964601766
1964-01-01,628.0,1964,1,632.3333333333334,5.0167224080267525
1964-02-01,618.0,1964,2,636.6666666666666,-1.5923566878980888
1964-03-01,688.0,1964,3,639.5833333333334,11.326860841423958
1964-04-01,705.0,1964,4,642.25,2.470930232558133
1964-05-01,770.0,1964,5,644.5833333333334,9.219858156028371
1964-06-01,736.0,1964,6,646.25,-4.4155844155844175
1964-07-01,678.0,1964,7,647.75,-7.880434782608692
1964-08-01,639.0,1964,8,649.5833333333334,-5.752212389380529
1964-09-01,604.0,1964,9,651.3333333333334,-5.477308294209704
1964-10-01,611.0,1964,10,653.3333333333334,1.1589403973509826
1964-11-01,594.0,1964,11,655.75,-2.782324058919805
1964-12-01,634.0,1964,12,658.75,6.734006734006726
1965-01-01,658.0,1965,1,661.25,3.785488958990535
1965-02-01,622.0,1965,2,661.5833333333334,-5.4711246200607855
1965-03-01,709.0,1965,3,663.3333333333334,13.9871382636656
1965-04-01,722.0,1965,4,664.75,1.833568406205921
1965-05-01,782.0,1965,5,665.75,8.310249307479234
1965-06-01,756.0,1965,6,667.4166666666666,-3.324808184143224
